n,b_z
1476,2.802192
1477,2.801273
1478,2.800354
1479,2.799434
1480,2.798515
1481,2.797596
1482,2.796677
1483,2.795758
1484,2.794840
1485,2.793922
1486,2.793004
1487,2.792086
1488,2.791169
1489,2.790253
1490,2.789337
1491,2.788421
1492,2.787506
1493,2.786592
1494,2.785679
1495,2.788587
1496,2.788695
1497,2.788284
1498,2.787679
1499,2.786979
1500,2.786225
1501,2.785435
1502,2.784623
1503,2.783794
1504,2.782953
1505,2.782104
1506,2.781247
1507,2.780384
1508,2.779517
1509,2.778647
1510,2.777774
1511,2.776899
1512,2.776022
1513,2.775143
1514,2.774264
1515,2.773383
1516,2.772501
1517,2.771619
1518,2.770737
1519,2.769854
1520,2.768971
1521,2.768088
1522,2.767205
1523,2.766322
1524,2.765439
1525,2.764556
1526,2.763673
1527,2.762791
1528,2.761909
1529,2.761027
1530,2.760146
1531,2.759265
1532,2.758384
1533,2.757504
1534,2.756625
1535,2.755745
1536,2.754867
1537,2.753994
1538,2.756882
1539,2.757011
1540,2.756629
1541,2.756055
1542,2.755388
1543,2.754667
1544,2.753912
1545,2.753134
1546,2.752339
1547,2.751533
1548,2.750717
1549,2.749895
1550,2.749067
1551,2.748235
1552,2.747400
1553,2.746562
1554,2.745721
1555,2.744879
1556,2.744035
1557,2.743190
1558,2.742344
1559,2.741497
1560,2.740649
1561,2.739801
1562,2.738953
1563,2.738104
1564,2.737256
1565,2.736407
1566,2.735558
1567,2.734709
1568,2.733861
1569,2.733012
1570,2.732164
1571,2.731316
1572,2.730468
1573,2.729621
1574,2.728774
1575,2.727927
1576,2.727081
1577,2.726235
1578,2.725390
1579,2.724545
1580,2.723706
1581,2.726577
1582,2.726726
1583,2.726370
1584,2.725826
1585,2.725189
1586,2.724499
1587,2.723776
1588,2.723030
1589,2.722267
1590,2.721493
1591,2.720711
1592,2.719921
1593,2.719125
1594,2.718326
1595,2.717523
1596,2.716717
1597,2.715909
1598,2.715099
1599,2.714288
1600,2.713475
1601,2.712661
1602,2.711847
1603,2.711032
1604,2.710216
1605,2.709400
1606,2.708584
1607,2.707767
1608,2.706950
1609,2.706134
1610,2.705317
1611,2.704500
1612,2.703684
1613,2.702868
1614,2.702052
1615,2.701236
1616,2.700420
1617,2.699605
1618,2.698790
1619,2.697975
1620,2.697161
1621,2.696347
1622,2.695534
1623,2.698389
1624,2.698557
1625,2.698227
1626,2.697710
1627,2.697102
1628,2.696441
1629,2.695747
1630,2.695030
1631,2.694298
1632,2.693554
1633,2.692800
1634,2.692040
1635,2.691275
1636,2.690506
1637,2.689732
1638,2.688957
1639,2.688178
1640,2.687398
1641,2.686617
1642,2.685834
1643,2.685050
1644,2.684265
1645,2.683480
1646,2.682694
1647,2.681907
1648,2.681120
1649,2.680333
1650,2.679546
1651,2.678759
1652,2.677972
1653,2.677185
1654,2.676397
1655,2.675610
1656,2.674824
1657,2.674037
1658,2.673251
1659,2.672464
1660,2.671679
1661,2.670893
1662,2.670108
1663,2.669323
1664,2.668539
1665,2.667757
1666,2.670593
1667,2.670777
1668,2.670470
1669,2.669979
1670,2.669397
1671,2.668763
1672,2.668097
1673,2.667408
1674,2.666703
1675,2.665987
1676,2.665263
1677,2.664531
1678,2.663794
1679,2.663053
1680,2.662308
1681,2.661561
1682,2.660811
1683,2.660059
1684,2.659306
1685,2.658552
1686,2.657796
1687,2.657040
1688,2.656283
1689,2.655525
1690,2.654767
1691,2.654008
1692,2.653250
1693,2.652491
1694,2.651732
1695,2.650972
1696,2.650213
1697,2.649454
1698,2.648695
1699,2.647937
1700,2.647178
1701,2.646419
1702,2.645661
1703,2.644903
1704,2.644145
1705,2.643388
1706,2.642631
1707,2.641874
1708,2.641121
1709,2.643939
1710,2.644138
1711,2.643852
1712,2.643385
1713,2.642828
1714,2.642220
1715,2.641580
1716,2.640917
1717,2.640239
1718,2.639550
1719,2.638852
1720,2.638147
1721,2.637437
1722,2.636722
1723,2.636004
1724,2.635284
1725,2.634561
1726,2.633836
1727,2.633109
1728,2.632382
1729,2.631653
1730,2.630923
1731,2.630193
1732,2.629462
1733,2.628730
1734,2.627998
1735,2.627266
1736,2.626534
1737,2.625801
1738,2.625069
1739,2.624336
1740,2.623603
1741,2.622871
1742,2.622138
1743,2.621406
1744,2.620674
1745,2.619942
1746,2.619210
1747,2.618478
1748,2.617747
1749,2.617016
1750,2.616285
1751,2.615558
1752,2.618358
1753,2.618572
1754,2.618306
1755,2.617861
1756,2.617328
1757,2.616744
1758,2.616128
1759,2.615491
1760,2.614837
1761,2.614173
1762,2.613500
1763,2.612820
1764,2.612135
1765,2.611446
1766,2.610753
1767,2.610058
1768,2.609360
1769,2.608660
1770,2.607959
1771,2.607256
1772,2.606553
1773,2.605848
1774,2.605143
1775,2.604437
1776,2.603730
1777,2.603023
1778,2.602316
1779,2.601609
1780,2.600901
1781,2.600193
1782,2.599486
1783,2.598778
1784,2.598070
1785,2.597363
1786,2.596655
1787,2.595948
1788,2.595240
1789,2.594533
1790,2.593826
1791,2.593120
1792,2.592413
1793,2.591707
1794,2.591003
1795,2.593786
1796,2.594013
1797,2.593766
1798,2.593343
1799,2.592831
1800,2.592270
1801,2.591677
1802,2.591063
1803,2.590433
1804,2.589792
1805,2.589143
1806,2.588487
1807,2.587825
1808,2.587160
1809,2.586491
1810,2.585819
1811,2.585145
1812,2.584469
1813,2.583791
1814,2.583112
1815,2.582432
1816,2.581752
1817,2.581070
1818,2.580387
1819,2.579705
1820,2.579021
1821,2.578338
1822,2.577654
1823,2.576970
1824,2.576286
1825,2.575601
1826,2.574917
1827,2.574233
1828,2.573548
1829,2.572864
1830,2.572180
1831,2.571496
1832,2.570812
1833,2.570128
1834,2.569445
1835,2.568762
1836,2.568079
1837,2.567397
1838,2.570162
1839,2.570402
1840,2.570173
1841,2.569769
1842,2.569279
1843,2.568739
1844,2.568167
1845,2.567575
1846,2.566967
1847,2.566349
1848,2.565721
